Label,Name,Type
T1037.002,Login Hook,Subtechnique
T1037.003,Network Logon Script,Subtechnique
T1037.004,RC Scripts,Subtechnique
T1037.005,Startup Items,Subtechnique
T1176,Browser Extensions,Technique
T1554,Compromise Client Software Binary,Technique
T1136,Create Account,Technique
T1136.001,Local Account,Subtechnique
T1136.002,Domain Account,Subtechnique
T1136.003,Cloud Account,Subtechnique
T1543,Create or Modify System Process,Technique
T1543.001,Launch Agent,Subtechnique
T1543.002,Systemd Service,Subtechnique
T1543.003,Windows Service,Subtechnique
T1543.004,Launch Daemon,Subtechnique
T1546,Event Triggered Execution,Technique
T1546.001,Change Default File Association,Subtechnique
T1546.002,Screensaver,Subtechnique
T1546.003,Windows Management Instrumentation Event Subscription,Subtechnique
T1546.004,Unix Shell Configuration Modification,Subtechnique
T1546.005,Trap,Subtechnique
T1546.006,LC_LOAD_DYLIB Addition,Subtechnique
T1546.007,Netsh Helper DLL,Subtechnique
T1546.008,Accessibility Features,Subtechnique
T1546.009,AppCert DLLs,Subtechnique
T1546.010,AppInit DLLs,Subtechnique
T1546.011,Application Shimming,Subtechnique
T1546.012,Image File Execution Options Injection,Subtechnique
T1546.013,PowerShell Profile,Subtechnique
T1546.014,Emond,Subtechnique
T1546.015,Component Object Model Hijacking,Subtechnique
T1574,Hijack Execution Flow,Technique
T1574.001,DLL Search Order Hijacking,Subtechnique
T1574.002,DLL Side-Loading,Subtechnique
T1574.004,Dylib Hijacking,Subtechnique
T1574.005,Executable Installer File Permissions Weakness,Subtechnique
T1574.006,Dynamic Linker Hijacking,Subtechnique
T1574.007,Path Interception by PATH Environment Variable,Subtechnique
T1574.008,Path Interception by Search Order Hijacking,Subtechnique
T1574.009,Path Interception by Unquoted Path,Subtechnique
T1574.010,Services File Permissions Weakness,Subtechnique
T1574.011,Services Registry Permissions Weakness,Subtechnique
T1574.012,COR_PROFILER,Subtechnique
T1574.013,KernelCallbackTable,Subtechnique
T1525,Implant Internal Image,Technique
T1556,Modify Authentication Process,Technique
T1556.001,Domain Controller Authentication,Subtechnique
T1556.002,Password Filter DLL,Subtechnique
T1556.003,Pluggable Authentication Modules,Subtechnique
T1556.004,Network Device Authentication,Subtechnique
T1556.005,Reversible Encryption,Subtechnique
T1137,Office Application Startup,Technique
T1137.001,Office Template Macros,Subtechnique
T1137.002,Office Test,Subtechnique
T1137.003,Outlook Forms,Subtechnique
T1137.004,Outlook Home Page,Subtechnique
T1137.005,Outlook Rules,Subtechnique
T1137.006,Add-ins,Subtechnique
T1542,Pre-OS Boot,Technique
T1542.001,System Firmware,Subtechnique
T1542.002,Component Firmware,Subtechnique
T1542.003,Bootkit,Subtechnique
T1542.004,ROMMONkit,Subtechnique
T1542.005,TFTP Boot,Subtechnique
T1505,Server Software Component,Technique
T1505.001,SQL Stored Procedures,Subtechnique
T1505.002,Transport Agent,Subtechnique
T1505.003,Web Shell,Subtechnique
T1505.004,IIS Components,Subtechnique
T1505.005,Terminal Services DLL,Subtechnique
T1205,Traffic Signaling,Technique
T1205.001,Port Knocking,Subtechnique
TA0004,Privilege Escalation,Tactic
T1548,Abuse Elevation Control Mechanism,Technique
T1548.001,Setuid and Setgid,Subtechnique
T1548.002,Bypass User Account Control,Subtechnique
T1548.003,Sudo and Sudo Caching,Subtechnique
T1548.004,Elevated Execution with Prompt,Subtechnique
T1134,Access Token Manipulation,Technique
T1134.001,Token Impersonation/Theft,Subtechnique
T1134.002,Create Process with Token,Subtechnique
T1134.003,Make and Impersonate Token,Subtechnique
T1134.004,Parent PID Spoofing,Subtechnique
T1134.005,SID-History Injection,Subtechnique
T1484,Domain Policy Modification,Technique
T1484.001,Group Policy Modification,Subtechnique
T1484.002,Domain Trust Modification,Subtechnique
T1611,Escape to Host,Technique
T1068,Exploitation for Privilege Escalation,Technique
T1055,Process Injection,Technique
T1055.001,Dynamic-link Library Injection,Subtechnique
T1055.002,Portable Executable Injection,Subtechnique
T1055.003,Thread Execution Hijacking,Subtechnique
T1055.004,Asynchronous Procedure Call,Subtechnique
T1055.005,Thread Local Storage,Subtechnique
T1055.008,Ptrace System Calls,Subtechnique
T1055.009,Proc Memory,Subtechnique
T1055.011,Extra Window Memory Injection,Subtechnique
T1055.012,Process Hollowing,Subtechnique
T1055.013,Process Doppelgänging,Subtechnique
T1055.014,VDSO Hijacking,Subtechnique
T1055.015,ListPlanting,Subtechnique
TA0005,Defense Evasion,Tactic
T1612,Build Image on Host,Technique
T1622,Debugger Evasion,Technique
T1140,Deobfuscate/Decode Files or Information,Technique
T1006,Direct Volume Access,Technique
T1480,Execution Guardrails,Technique
T1480.001,Environmental Keying,Subtechnique
T1211,Exploitation for Defense Evasion,Technique
